post,date,artist,song_name,korean_name,director,video,type,release
,2018-06-21,The Eastlight,Never Thought (I'd Fall In Love),,,Youtube,Boy,Minor
,2018-06-18,Taeyeon,Something New,썸띵 뉴,,Youtube,Girl Solo,Major
,2018-06-18,BtoB,Only One For Me,너 없인 안 된다,,Youtube,Boy,Major
,2018-06-17,Like A Movie,Twilight,,,Youtube,Boy,Major
,2018-06-17,DAY6,Stop The Rain,,,Youtube,Boy,Japanese
Post,2018-06-15,Blackpink,Ddu Du Ddu Du,뚜두뚜두,,Youtube,Girl,Major
Post,2018-06-14,Twice,I Want You Back,,,Youtube,Girl,Japanese
,2018-06-14,"HNB (Woo Jin-young, Kim Hyeon-soo)",Falling In Love,설레고 난리,,Youtube,Boy,Major
,2018-06-13,Longguo,Clover feat. Yoon Mirae,,,Youtube,Boy,Major
,2018-06-12,DPR LIVE,Playlist,,DPR Visuals,Youtube,Boy,Major
,2018-06-11,SHINee,I Want You,,,Youtube,Boy,Major
,2018-06-11,Busters,Grapes,포도포도해,,Youtube,Girl,Major
,2018-06-10,Girlkind,S.O.R.R.Y,,,Youtube,Girl,Major
,2018-06-10,Walwari,Everyday Brother,매일 오빠,,Youtube,Co-ed,Major
,2018-06-08,Sixth Sense,Don't Go,,,Youtube,Girl,Minor
,2018-06-07,ONF,Complete,널 만난 순간,,Youtube,Boy,Major
,2018-06-07,A.C.E,Take Me Higher,텍 미 하이어,,Youtube,Boy,Major
,2018-06-05,fromis_9,DKDK,두근두근,,Youtube,Girl,Major
,2018-06-05,Yubin,Lady,숙녀,Naive,Youtube,Girl Solo,Major
,2018-06-05,Navi,Monday to Sunday,먼투썬,,Youtube,Girl Solo,Major
,2018-06-04,Wanna One,Light,켜줘,,Youtube,Boy,Major
Post,2018-06-01,WJMK,Strong,짜릿하게,,Youtube,Girl,Major
,2018-06-01,YPDA,Be Pretty,예뻐지다,,Youtube,Girl,Major
,2018-05-31,Xeno-T,Dokoni Itemo,どこにいても,,Youtube,Boy,Japanese
,2018-05-30,Super Junior-D&E,Hot Babe,,,Youtube,Boy,
,2018-05-30,Samuel,Teenager feat. Lee Rohan,틴에이저,,Youtube,Boy Solo,Major
Post,2018-05-30,LOONA YYXY,Love4eva (feat. Grimes),,,Youtube,Girl,Major
Post,2018-05-28,AOA,Bingle Bangle,빙글뱅글,FantazyLab,Youtube,Girl,Major
Post,2018-05-28,PRISTIN V,Get It,네 멋대로,,Youtube,Girl,Major
Post,2018-05-28,SHINee,Good Evening,데리러 가,,Youtube,Boy,Major
,2018-05-28,Bolbbalgan4,Wind,바람사람,,Youtube,Girl,Major
,2018-05-28,Marmello,The moment of glory,승리의 순간,,Youtube,Girl,Minor
,2018-05-28,NTB,Dramatic,,,Youtube,Boy,Major
,2018-05-25,Prism,Chok,촉,,Youtube,Girl,Major
,2018-05-25,24K,Bonnie N Clyde,보니 앤 클라이드,,Youtube,Boy,Major
,2018-05-25,Boyfriend,Sunshower,여우비,,Youtube,Boy,Minor
,2018-05-24,Bolbbalgan4,Starlight,야경,,Youtube,Girl,Minor
,2018-05-24,Bolbbalgan4,Travel,여행,,Youtube,Girl,Major
,2018-05-24,The Eastlight,Love Flutters,설레임,,Youtube,Boy,Major
,2018-05-23,The Rose,I.L.Y,,,Youtube,Boy,Minor
,2018-05-23,Victon,The Time Of Sorrow,오월애,,Youtube,Boy,Major
,2018-05-23,KHAN,I'm Your Girl?,아임 유어 걸?,Rigid Film,Youtube,Girl,Major
,2018-05-22,TST,Love Story,,,Youtube,Boy,Major
,2018-05-21,Cross Gene,Believe Me,빌리브미,,Youtube,Boy,Minor
,2018-05-21,EXID,How Why,하우와이,,Youtube,Girl,Minor
,2018-05-20,V.O.S,Door,문,,Youtube,Boy,Major
Post,2018-05-18,BTS,Fake Love,페이크 러브,Lumpens,Youtube,Boy,Major
Post,2018-05-18,UNI.T,No More,넘어,,Youtube,Girl,Major
,2018-05-18,Girls' Alert,Daddy Long Legs,키다리 아저씨,,Youtube,Girl,Major
,2018-05-17,Heygirls,Follow Me,팔로우해봐,,Youtube,Girl,Major
,2018-05-17,PLT,Hocus Pocus,,,Youtube,Boy,Minor
,2018-05-16,N.Flying,How R U Today,하우알유,,Youtube,Boy,Major
,2018-05-16,SEVENTEEN,Call Call Call,,,Youtube,Boy,Japanese
,2018-05-16,Baechigi,Do More,더 해,,Youtube,Boy,Major
,2018-05-15,Eyedi,Luv Highway,,Kwak Minseung,Youtube,Girl Solo,Major
,2018-05-15,CROSS GENE,Fly,비상,,Youtube,Boy,Minor
,2018-05-10,Marmello,Moonlight,문라이트,,Youtube,Girl,Major
,2018-05-10,Dreamcatcher,You and I,유앤아이,,Youtube,Girl,Major
,2018-05-09,Yong Junhyung,Go Away,무슨 말이 필요해,,Youtube,Boy Solo,Major
,2018-05-09,Favorite,Where Are You From?,어느 별에서 왔니?,,Youtube,Girl,Major
,2018-05-08,Spectrum,Light It Up,불붙여,,Youtube,Boy,Major
,2018-05-08,NCT 127,Chain,체인,,Youtube,Boy,Major
,2018-05-08,CROSS GENE,Touch It,달랑말랑,ZANYBROS,Youtube,Boy,Major
,2018-05-08,Teen Top,Seoul Night,서울밤,,Youtube,Boy,Major
,2018-05-06,GOT7,The New Era,,,Youtube,Boy,Japanese
,2018-05-06,GFRIEND,Me Gustas Tu,今日から私たちは,,Youtube,Girl,Japanese
,2018-05-02,GBB,Kemi,케미,,Youtube,Girl,Major
Post,2018-05-02,(G)I-DLE,LATATA,라타타,,Youtube,Girl,Major
,2018-05-01,IZ,Angel,엔젤,,Youtube,Boy,Major
,2018-05-01,ii,I'm Already You,난 이미 너야,,Youtube,Girl,Major
,2018-05-01,Hi Cutie,8th Grade Syndrome,중2병,,Youtube,Girl,Major
,2018-04-30,GFRIEND,Time for the moon night,밤,,Youtube,Girl,Major
,2018-04-30,HALO,O.M.G.,오마이갓,,Youtube,Boy,Major
,2018-04-29,IZ,Granulate,새살,,Youtube,Boy,Minor
,2018-04-29,JBJ,Just Be Stars,,,Youtube,Boy,Minor
,2018-04-28,SHINee,Everytime,,,Youtube,Boy,Japanese
,2018-04-27,Berry Good Heart Heart,"Crazy, Gone Crazy",난리가 난리가 났네,,Youtube,Girl,Major
,2018-04-26,The Eastlight,Are You Okay,넌 괜찮니,,Youtube,Boy,Minor
,2018-04-24,Luna,Night Reminiscin’,그런 밤,,Youtube,Girl Solo,Major
,2018-04-24,Solar,Nada Sou Sou,눈물이 주룩주룩,,Youtube,Girl Solo,Minor
,2018-04-24,MONSTA X,Puzzle,,,Youtube,Boy,Japanese
,2018-04-24,Twice,Wake Me Up,웩미업,,Youtube,Girl,Japanese
,2018-04-24,EXO-CBX,Horololo,호롤롤로,VISUALSFROM.,Youtube,Boy,Major
,2018-04-23,Snuper,Tulips,튤립,,Youtube,Boy,Major
,2018-04-23,Hyolyn,Dally feat. GRAY,달리,,Youtube,Girl Solo,Major
Post,2018-04-23,Lovelyz,That Day,그날의 너,SUNNYVISUAL,Youtube,Girl,Major
,2018-04-22,Stray Kids,Mirror (Performance),미러,,Youtube,Boy,Minor
,2018-04-22,Solar,Where the Wind Rises,바람이 불어오는 곳,,Youtube,Girl Solo,Minor
,2018-04-20,BNF,Blossoms,꽃잎이 되어,,Youtube,Boy,Major
,2018-04-19,Apink,Miracle,기적 같은 이야기,,Youtube,Girl,Special
,2018-04-19,IN2IT,Snapshot,스냅샷,,Youtube,Boy,Major
,2018-04-19,Zhoumi,I Don't Care,워뿌꽌,,Youtube,Boy Solo,Major
,2018-04-19,Minseo,Growing Up,알지도 못하면서,,Youtube,Girl Solo,Major
,2018-04-18,HA:TFELT,Pluhmm,위로가 돼요,,Youtube,Girl Solo,Major
,2018-04-18,Hyoyeon,Sober feat. Ummet Ozcan,소버,,Youtube,Girl Solo,Major
,2018-04-18,Soya,Oasis,오아시스,,Youtube,Girl Solo,Major
,2018-04-18,Highteen,Timing,타이밍,,Youtube,Girl,Major
,2018-04-18,NCT 2018,Black on Black (Performance),블온블,,Youtube,Boy,Major
Post,2018-04-17,VIXX,Scentist,향,,Youtube,Boy,Major
,2018-04-17,JBJ,Call Your Name,부를게,,Youtube,Boy,Major
,2018-04-17,Wheein,Easy,이지,,Youtube,Girl Solo,Minor
,2018-04-17,IMFACT,The Light,빛나,,Youtube,Boy,Major
,2018-04-15,H.U.B,When A Blossom Day Of Cherry Blossom,벚꽃피는날에,,Youtube,Girl,Major
,2018-04-15,The Rose,Baby,베이비,,Youtube,Boy,Major
,2018-04-15,Momoland,Bboom Bbbom (Japanese),,,Youtube,Girl,Japanese
,2018-04-13,SF9,Dear Fantasy,,,Youtube,Boy,Minor
,2018-04-12,Baby Boo,Kiss Me,키스미,,Youtube,Girl,Major
Post,2018-04-12,Super Junior,Lo Siento feat. Leslie Grace,로시엔토,Tiger Cave,Youtube,Boy,Major
,2018-04-11,UNB,Only One,온리 원,,Youtube,Boy,Minor
,2018-04-11,Eric Nam,Honestly…,솔직히,,Youtube,Boy Solo,Major
,2018-04-11,Yoo Seonho,Maybe Spring,봄이 오면,,Youtube,Boy Solo,Major
,2018-04-10,Hyeongseop X Euiwoong,Love Tint,너에게 물들어,,Youtube,Boy,Major
,2018-04-10,JooYoung,Daydream,데이드림,,Youtube,Boy Solo,Major
,2018-04-10,EXO-CBX,Blooming Day,花요일,,Youtube,Boy,Major
Post,2018-04-09,Twice,What Is Love?,웟이즈러브,Naive,Youtube,Girl,Major
,2018-04-09,Gunmin X Heedo (B.I.G),Don't Worry,돈워리,,Youtube,Boy,Minor
,2018-04-09,Eric Nam,Potion feat. Woodie Gochild,포션,,Youtube,Boy Solo,Major
,2018-04-08,NOIR,Gangsta,갱스타,,Youtube,Boy,Major
,2018-04-07,Girlkind,Broccoli,브로콜리,,Youtube,Girl,Minor
,2018-04-07,UNB,Feeling,감각,,Youtube,Boy,Major
,2018-04-06,Ten (NCT),New Heroes,뉴 히어로즈,,Youtube,Boy Solo,Special
,2018-04-06,GreatGuys,Ganda,간다,,Youtube,Boy,Major
,2018-04-05,Badkiz,Just One Day,딱 하루,,Youtube,Girl,Major
,2018-04-05,YDPP,Love It Live It,러빗리빗,,Youtube,Boy,Major
,2018-04-04,WINNER,EVERYDAY,에브리데이,,Youtube,Boy,Major
,2018-04-03,CLC,Distance,선,,Youtube,Girl,Minor
,2018-04-03,The Boyz,Giddy Up,기디 업,Naive,Youtube,Boy,Major
,2018-04-03,TVXQ!,Love Line,평행선,,Youtube,Boy,Major
,2018-04-02,Oh My Girl Banhana,Banana Allergy Monkey,바나나 알러지 원숭이,,Youtube,Girl,Major
,2018-04-02,EXID,Lady,내일해,,Youtube,Girl,Major
,2018-04-02,Pentagon,Shine,빛나리,,Youtube,Boy,Major
,2018-04-01,NCT U,YESTODAY,예스투데이,,Youtube,Boy,Major
,2018-04-01,Super Junior-D&E,Lose It,,,Youtube,Boy,Japanese
,2018-04-01,Gavy NJ,People Said Break It Up,헤어지래요,,Youtube,Girl,Major
Post,2018-03-30,Mamamoo,Everyday,매일봐요,,Youtube,Girl,Minor
,2018-03-30,Stray Kids,Grow Up,잘 하고 있어,,Youtube,Boy,Minor
,2018-03-29,LOONA,Egoist (Olivia Hye feat. Jinsoul),이고이스트,,Youtube,Girl,Major
,2018-03-28,Samuel,ONE feat. Jung Ilhoon,원,,Youtube,Boy Solo,Major
,2018-03-28,TVXQ!,The Chance Of Love,운명,,Youtube,Boy,Major
,2018-03-27,5tion,Love Takes Time,러브 테이크 타임,,Youtube,Boy,Major
,2018-03-26,Stray Kids,District 9,디스트릭트 나인,HIGHQUALITYFISH,Youtube,Boy,Major
,2018-03-26,MONSTA X,Jealousy,젤러시,,Youtube,Boy,Major
,2018-03-25,Shinhwa,All Your Dreams,올 유어 드림,,Youtube,Boy,Major
,2018-03-21,Honey Popcorn,Bibidi Babidi Boo,비비디바비디부,,Youtube,Girl,Major
,2018-03-21,SEVENTEEN,Just Do It (BSS),거침없이,,Youtube,Boy,Minor
,2018-03-20,B1A4,Aerumade,会えるまで,,Youtube,Boy,Japanese
,2018-03-20,SF9,Together,투게더,,Youtube,Boy,Minor
,2018-03-19,Wanna One,Boomerang,부메랑,,Youtube,Boy,Major
,2018-03-17,Tweety,Bad Boy,배드 보이,,Youtube,Girl,Major
,2018-03-15,FTISLAND,Hold The Moon,,,Youtube,Boy,Japanese
,2018-03-15,UP10TION,Candyland,캔디랜드,Naive,Youtube,Boy,Major
,2018-03-14,Hoya,Angel,앤젤,,Youtube,Boy Solo,Minor
,2018-03-13,NCT 127,Touch,터치,Kim 'Oui Kim' Seonguk,Youtube,Boy,Major
,2018-03-13,Golden Child,Lady,레이디,,Youtube,Boy,Major
,2018-03-12,Bubble X,Follow,팔로우,,Youtube,Girl,Major
,2018-03-12,GOT7,Look,룩,,Youtube,Boy,Major
,2018-03-12,APRIL,The Blue Bird,파랑새,Naive,Youtube,Girl,Major
,2018-03-11,HEYNE,Insomnia,잠이 오지 않아,,Youtube,Girl Solo,Major
,2018-03-08,U-KISS,No Regret,,,Youtube,Boy,Japanese
,2018-03-08,Marmello,Wake Me Up,웩미업,,Youtube,Girl,Major
,2018-03-08,ONF,Difficult,디피컬트,,Youtube,Boy,Minor
,2018-03-08,Heize,Didn't Know Me,내가 더 나빠,,Youtube,Girl Solo,Major
,2018-03-08,Heize,Jenga feat. Gaeko,젠가,,Youtube,Girl Solo,Major
,2018-03-07,ZZBae,Yoo Hoo Hoo~,유후후~,,Youtube,Girl,Major
,2018-03-07,Sojung (Ladies' Code),Stay Here,스테이 히어,,Youtube,Girl Solo,Major
Post,2018-03-07,Mamamoo,Starry Night,별이 빛나는 밤,,Youtube,Girl,Major
Post,2018-03-06,Mamamoo,Star Wind Flower Sun,별 바람 꽃 태양,,Youtube,Girl,Minor
,2018-03-06,MXM,Gone Cold,식어버린 온도,,Youtube,Boy,Major
,2018-03-06,j-hope,Airplane,에어플레인,,Youtube,Boy Solo,Minor
,2018-03-05,Noel,Our last day,그날의 너에게,,Youtube,Boy,Major
,2018-03-05,Wanna One,I.P.U,약속해요,,Youtube,Boy,Minor
,2018-03-04,NCT DREAM,GO,고,,Youtube,Boy,Major
,2018-03-02,AZM,Edge,엣지,,Youtube,Girl,Major
,2018-03-01,j-hope,Daydream,백일몽,,Youtube,Boy Solo,Major
,2018-02-28,Red Velvet,I Just,아이 저스트,,Youtube,Girl,Minor
,2018-02-28,Jeon Soyeon,Idle Song,아이들 쏭,,Youtube,Girl Solo,Minor
,2018-02-27,Sha Sha,You & Me,너와나,,Youtube,Girl,Major
,2018-02-27,Waeb,Go Away,,,Youtube,Boy,Major
Post,2018-02-27,WJSN,Dreams Come True,꿈꾸는 마음으로,,Youtube,Girl,Major
,2018-02-26,NCT U,Baby Don't Stop,베비돈스탑,,Youtube,Boy,Major
,2018-02-26,SF9,Mamma Mia,맘마미아,Purple Straw Film,Youtube,Boy,Major
,2018-02-23,"Trax, Lip2Shot",Notorious,,,Youtube,Boy,Major
,2018-02-23,I.C.E,Shameless,뻔뻔해,,Youtube,Girl,Major
Post,2018-02-22,CLC,Black Dress,블랙드레스,,Youtube,Girl,Major
,2018-02-21,Weki Meki,La La La,라라라,,Youtube,Girl,Major
,2018-02-21,VROMANCE,Star,별,,Youtube,Boy,Major
,2018-02-20,I.M (Monsta X),Fly With Me,플라이위드미,,Youtube,Boy Solo,Minor
,2018-02-20,BoA,"One Shot, Two Shot",원샷 투샷,,Youtube,Girl Solo,Major
,2018-02-19,Yang Yoseop,Where I Am Gone,네가 없는 곳,,Youtube,Boy Solo,Major
,2018-02-18,NCT U,BOSS,보스,,Youtube,Boy,Major
,2018-02-18,Boyfriend,Try My Wings,트라이 마이 윙스,,Youtube,Boy,Japanese
,2018-02-15,Kino (Pentagon),Lonely,론리,,Youtube,Boy Solo,Minor
,2018-02-15,N.tic,Once Again,원스 어게인,,Youtube,Boy,Major
,2018-02-14,Suzy,SObeR,소버,,Youtube,Girl Solo,Major
,2018-02-13,Park Boram,Will Be Fine,애쓰지 마요,,Youtube,Girl Solo,Major
,2018-02-13,The Eastlight,Valentines Day,발렌타인 데이,,Youtube,Boy,Major
,2018-02-12,Roy Kim,Only Then,그때 헤어지면 돼,,Youtube,Boy Solo,Major
,2018-02-12,Yang Yoseop,Star,별,,Youtube,Boy Solo,Major
,2018-02-11,Mighty Mouth,Uber,,,Youtube,Boy,Major
,2018-02-10,VAV,Gorgeous,예쁘다고,,Youtube,Boy,Major
,2018-02-07,Dynamic Duo,Bongjeseon,봉제선,,Youtube,Boy,Major
,2018-02-07,PLT,Blind,,,Youtube,Boy,Minor
,2018-02-07,"Naeun, Jinsol (APRIL)",My Story,내 이야기,,Youtube,Girl,Minor
,2018-02-07,Hong Jinyoung,Good Bye,잘가라,,Youtube,Girl Solo,Major
,2018-02-06,CoCoSoRi,Mi Amor,미아모르,,Youtube,Girl,Major
,2018-02-06,Hyolyn,To Do List,내일할래,,Youtube,Girl Solo,Major
,2018-02-06,MONSTA X,In Time,인타임,,Youtube,Boy,Minor
,2018-02-05,DAY6,If We Can Meet Again,If ～また逢えたら～,,Youtube,Boy,Japanese
,2018-02-05,SEVENTEEN,Thanks,고맙다,,Youtube,Boy,Major
,2018-02-04,100%,Song For You,송포유,,Youtube,Boy,Japanese
,2018-02-03,BLACKSIX,Alone,쓸쓸해,,Youtube,Boy,Minor
,2018-02-02,Henry,Monster,몬스터,,Youtube,Boy,English
,2018-02-01,Davichi,Just The Two Of Us,우리 둘,,Youtube,Girl,Major
,2018-02-01,gugudan,The Boots,더 부츠,Purple Straw Film,Youtube,Girl,Major
,2018-02-01,2000won,SSUL,썰,,Youtube,Boy,Major
,2018-01-31,Super Junior-D&E,If You,,,Youtube,Boy,Japanese
,2018-01-31,14U,Don't Be Pretty,예뻐지지마,,Youtube,Boy,Major
,2018-01-31,BoA,Nega Dola,내가 돌아,,Youtube,Girl Solo,Major
,2018-01-31,Soya,Show,쇼,,Youtube,Girl Solo,Major
,2018-01-29,Suzy,Holiday feat. DPR LIVE,홀리데이,VISUALSFROM.,Youtube,Girl Solo,Major
,2018-01-29,Risso,Alergy,알러지,,Youtube,Girl Solo,Minor
,2018-01-29,LOONA,One&Only (GoWon),원 앤 온리,,Youtube,Girl,Major
,2018-01-29,DEAN,instagram,인스타그램,,Youtube,Boy Solo,Major
,2018-01-29,Golden Child,It's You,너라고,,Youtube,Boy,Major
,2018-01-29,Red Velvet,Bad Boy,배드보이,Flexible Pictures,Youtube,Girl,Major
,2018-01-28,VAV,Spotlight,스팟라잇,,Youtube,Boy,Major
,2018-01-25,Davichi,Days Without You,너 없는 시간들,,Youtube,Girl,Major
,2018-01-25,iKON,Love Scenario,사랑을 했다,,Youtube,Boy,Major
,2018-01-24,fromis_9,To Heart,투하트,,Youtube,Girl,Major
,2018-01-24,Jeong Sewoon,Baby It's U,베이비잇츄,,Youtube,Boy Solo,Major
,2018-01-24,The Eastlight,Two Of Us,너와 둘이,,Youtube,Boy,Minor
,2018-01-23,Rainz,Turn It Up,턴 잇 업,,Youtube,Boy,Major
,2018-01-23,B1A4,Do You Remember,,,Youtube,Boy,Japanese
,2018-01-23,Target,Awake,어웨이크,,Youtube,Boy,Major
,2018-01-23,Jonghyun,Before Our Spring,우린 봄이 오기 전에,,Youtube,Boy Solo,Major
,2018-01-22,Jonghyun,Shinin',빛이 나,HIGHQUALITYFISH,Youtube,Boy Solo,Major
,2018-01-22,Ravi,Nirvana feat. Park Jimin,너바나,,Youtube,Boy Solo,Major
,2018-01-22,Suzy,In Love With Someone Else,다른사람을 사랑하고 있어,,Youtube,Girl Solo,Minor
,2018-01-21,HALO,Liar,,,Youtube,Boy,Japanese
,2018-01-20,UP10TION,Wild Love,,,Youtube,Boy,Japanese
,2018-01-18,Sunmi,Heroine,주인공,,Youtube,Girl Solo,Major
,2018-01-18,The Eastlight,Real Man,레알 남자,,Youtube,Boy,Major
,2018-01-17,Chungha,Roller Coaster,롤러코스터,,Youtube,Girl Solo,Major
,2018-01-17,JBJ,My Flower,꽃이야,,Youtube,Boy,Major
,2018-01-16,Girlkind,FANCI,팬시,,Youtube,Girl,Major
,2018-01-15,Stray Kids,Spread My Wings (Performance),어린 날개,,Youtube,Boy,Minor
,2018-01-14,Various,Shadow,,,Youtube,Girl,Major
,2018-01-12,NCT U,Timeless,텐데...,,Youtube,Boy,Minor
,2018-01-11,Weki Meki,Butterfly,,,Youtube,Girl,CF
,2018-01-11,Twice,Candy Pop,캔디팝,Naive,Youtube,Girl,Japanese
,2018-01-10,MXM,Diamond Girl,다이아몬드걸,,Youtube,Boy,Minor
,2018-01-10,Jo Kwon,Lonely,새벽,,Youtube,Boy Solo,Minor
Post,2018-01-09,Oh My Girl,Secret Garden,비밀정원,,Youtube,Girl,Major
,2018-01-09,MONSTA X,Spotlight,스포트라이트,,Youtube,Boy,Japanese
,2018-01-08,Infinite,Tell Me,텔미,,Youtube,Boy,Major
,2018-01-08,Block B,Don't Leave,떠나지마요,,Youtube,Boy,Major
,2018-01-08,Jang Wooyoung,Going Going,고잉고잉,,Youtube,Boy Solo,Minor
,2018-01-07,Stray Kids,Beware (Performance),총량의 법칙,,Youtube,Boy,Minor
,2018-01-05,Voisper,Missing U,꺼내보면,,Youtube,Boy,Major
,2018-01-05,Hint,Walkie Talkie,워키토키,,Youtube,Girl,Major
,2018-01-04,Live High,Yes,예스,,Youtube,Girl,Major
Post,2018-01-04,Mamamoo,Paint Me,칠해줘,,Youtube,Girl,Minor
,2018-01-04,5tion,Come Back,돌아와줘요,,Youtube,Boy,Major
,2018-01-03,N.Flying,Hot Potato,뜨거운 감자,,Youtube,Boy,Major
Post,2018-01-03,Momoland,BBoom BBoom,뿜뿜,,Youtube,Girl,Major
,2018-01-02,PLT,Blah,,,Youtube,Boy,Minor
,2018-01-02,TRCNG,Wolf Baby,울프베이비,,Youtube,Boy,Major
,2018-01-02,Drug Restaurant,Her,헐,,Youtube,Boy,Major
,2017-12-28,LOONA,Heart Attack (Chuu),하트 어택,Digipedi,Youtube,Girl,Major
,2017-12-28,Younha,Parade,퍼레이드,,Youtube,Girl Solo,Major
,2017-12-27,EXO,Universe,,,Youtube,Boy,Major
,2017-12-26,Super Junior-D&E,You Don't Go,,,Youtube,Boy,Japanese
,2017-12-25,1NB,"Winter, again",다시겨울,,Youtube,Girl,Minor
,2017-12-23,BoA,Jazzclub,재즈클럽,,Youtube,Girl Solo,Japanese
,2017-12-23,NU'EST W,Let Me Out,,,Youtube,Boy,OST
,2017-12-22,Twice,Merry & Happy,,Mustache Films,Youtube,Girl,Minor
,2017-12-17,Sha Sha,White Story,,,Youtube,Girl,Minor
,2017-12-17,Laysha,Pink Label,핑크라벨,,Youtube,Girl,Minor
,2017-12-15,NCT DREAM,Joy,조이,,Youtube,Boy,Minor
,2017-12-14,B.A.P,Hands Up,핸즈업,,Youtube,Boy,Major
,2017-12-12,Twice,Heart Shaker,하트 쉐이커,Naive,Youtube,Girl,Major
,2017-12-07,Mighty Mouth,Instagram,,,Youtube,Boy,Major
,2017-12-06,The Boyz,Boy,소년,Naive,Youtube,Boy,Major
,2017-12-06,KARD,Trust Me,,,Youtube,Co-ed,Minor
,2017-12-06,Snuper,Stand by me,,,Youtube,Boy,Japanese
,2017-12-05,DAY6,I Like You,좋아합니다,,Youtube,Boy,Major
,2017-12-05,EXO,Electric Kiss,,,Youtube,Boy,Japanese
,2017-12-05,Hyuna,Lip & Hip,립앤힙,,Youtube,Girl Solo,Major
,2017-12-04,ANYWAY,Follow You,팔로우 유,,Youtube,Boy,Minor
,2017-11-29,1NB,Where U at,쉽지않아,,Youtube,Girl,Minor
,2017-11-29,fromis_9,Glass Shoes,유리구두,,Youtube,Girl,Minor
,2017-11-28,LOONA,new (Yves),뉴,Digipedi,Youtube,Girl,Major
,2017-11-27,BLK,Hero,히어로,,Youtube,Boy,Major
,2017-11-26,Hey Men,Jelly,젤리,,Youtube,Boy,Minor
,2017-11-26,MAP6,Love Is Gone,러브이즈건,,Youtube,Boy,Major
,2017-11-26,Busters,La La La,랄랄라,Shindong,Youtube,Girl,Minor
,2017-11-26,MXM,Save The Rest,오늘은 여기까지,,Youtube,Boy,Minor
,2017-11-26,Busters,Dream On,내꿈꿔,Shindong,Youtube,Girl,Major
Post,2017-11-24,BTS,Mic Drop (Steve Aoki Remix),마이크드롭,Woogie Kim,Youtube,Boy,Major
,2017-11-23,Pentagon,Violet,바이올렛,,Youtube,Boy,Minor
,2017-11-22,Pentagon,Runaway,런어웨이,,Youtube,Boy,Major
,2017-11-22,Honeyst,Someone To Love,연애하고싶은데요,,Youtube,Boy,Major
,2017-11-22,Blah Blah,Good Job,참 잘했어요,,Youtube,Girl,Major
,2017-11-21,KARD,You In Me,유 인 미,Naive,Youtube,Co-ed,Major
,2017-11-21,ZZBae,Stress,스트레스,,Youtube,Girl,Major
,2017-11-20,Epik High,Lost One,개화,,Youtube,Boy,Minor
,2017-11-19,Heygirls,No (No One But You),너 아니면,,Youtube,Girl,Major
,2017-11-17,Red Velvet,Peek-A-Boo,피카부,FantazyLab,Youtube,Girl,Major
,2017-11-17,"Nell, Groovy Room",Today,오늘은,,Youtube,Boy,Major
,2017-11-16,Snuper,Dear,디어,,Youtube,Boy,Minor
,2017-11-16,Samuel,Candy,캔디,,Youtube,Boy Solo,Major
,2017-11-15,Fly To The Sky,Your Season,너의 계절,,Youtube,Boy,Major
,2017-11-14,Lovelyz,Twinkle,종소리,ZANYBROS,Youtube,Girl,Major
,2017-11-13,Wanna One,Beautiful,뷰티풀,,Youtube,Boy,Major
,2017-11-13,AshGray,Love No More,더는 사랑 안해,,Youtube,Boy,Major
,2017-11-09,VICTON,Remember Me,나를 기억해,,Youtube,Boy,Major
,2017-11-08,Urban Zakapa,When we were two,"그때의 나, 그때의 우리",,Youtube,Co-ed,Major
,2017-11-08,gugudan,Chococo,초코코,Digipedi,Youtube,Girl,Major
,2017-11-07,SF9,Let's Hang out,나랑 놀자,,Youtube,Boy,Minor
,2017-11-07,Block B,Shall We Dance,쉘 위 댄스,,Youtube,Boy,Major
,2017-11-07,MONSTA X,Dramarama,드라마라마,Vikings League,Youtube,Boy,Major
,2017-11-07,EXID,DDD,덜덜덜,Digipedi,Youtube,Girl,Major
,2017-11-07,Kim Sohee,Sobok Sobok feat. Yezi,소복소복,,Youtube,Girl Solo,Major
,2017-11-06,Super Junior,Black Suit,블랙수트,Rigid Film,Youtube,Boy,Major
,2017-11-06,SEVENTEEN,Clap,박수,,Youtube,Boy,Major
,2017-11-06,Sonamoo,I (knew it),아이,,Youtube,Girl,Major
,2017-11-06,Mamamoo,I Love Too,놓지않을게,,Youtube,Girl,Minor
,2017-11-05,Jeon Soyeon,Jelly,젤리,,Youtube,Girl Solo,Major
,2017-11-05,GeeGu,Chemical,케미컬,DOT,Youtube,Girl,Major
,2017-11-05,DAY6,All Alone,혼자야,Naive,Youtube,Boy,Major
,2017-11-04,Icia,Sad Heel,새드힐,,Youtube,Girl,Major
,2017-11-03,Minah,11°,11도,,Youtube,Girl Solo,Minor
,2017-11-02,Hyeongseop X Euiwoong,It Will Be Good,좋겠다,,Youtube,Boy,Major
,2017-11-01,ASTRO,Crazy Sexy Cool,니가 불어와,,Youtube,Boy,Major
,2017-10-31,Juniel,I Drink Alone,혼술,,Youtube,Girl Solo,Major
Post,2017-10-31,LOONA Odd Eye Circle,Sweet Crazy Love,스윗 크레이지 러브,Digipedi,Youtube,Girl,Major
,2017-10-31,Voisper,Save As,다른 이름으로 저장하기,,Youtube,Boy,Major
,2017-10-31,The Rose,Like We Used To,좋았는데,,Youtube,Boy,Major
Post,2017-10-30,Twice,Likey,라이키,Naive,Youtube,Girl,Major
