title;singer;album;producer;distributor;year_month;is_popular;external_factors;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;release_date;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow
우리가 사는 이야기 (feat. 메건리);god-sep-megan lee;chapter 8;sidushq, god;stone music entertainment;201407;1;0;0;0;0;True;3wq1lWq1Oh49dqi2PXGa7K;album;2014-07-08;276971;False;0.439;0.66;0.627;0.0;0.151;-5.55;0.0475;0.42;85.978;1nTCpd63NkuGGpCIbo4Ywl-sep-1I84ICwXGdegIrMPLkgoaU;0;0
우리가 헤어진 진짜 이유;younha;just listen;wealive, stone music entertainment;stone music entertainment;201305;1;0;1;0;0;False;5i1jOxUINC61OAvmSMxecQ;album;2013-05-02;314437;False;0.305;0.535;0.515;0.0;0.136;-4.2219999999999995;0.0258;0.263;107.93299999999999;6GwM5CHqhWXzG3l5kzRSAS;0;0
우리는 (feat. crybaby & dj dopsh);geeks;듀스 20주년 헌정앨범 part 3;제이원파트너스, 로엔엔터테인먼트;카카오 m;201310;0;0;0;0;0;True;29FCWlsPUWUXSApZ926O4e;compilation;2014-04-16;183222;False;0.0633;0.882;0.813;6.43e-06;0.314;-4.838;0.161;0.919;115.979;5VxfguafjfSdJcN10ACVZe;0;0
우리집을 못 찾겠군요 (feat. 볼빨간사춘기);mad clown;우리집을 못 찾겠군요;스타쉽 엑스;카카오 m;201702-201703;1;0;1;0;0;True;14ijZ1ZkGueHSoBveT2hTD;single;2017-02-03;215904;False;0.24;0.635;0.775;0.0;0.42100000000000004;-3.3819999999999997;0.237;0.81;93.49700000000001;0dX6tgZKWpamoFHFuXFhwd;0;0
우산;epik high-sep-younha;우산;wealive, stone music entertainment;stone music entertainment;201407;1;0;1;1;0;True;1VnjByC7TUx5A73A4qtgoo;album;2008-04-17;301720;False;0.39299999999999996;0.7440000000000001;0.71;0.0;0.488;-5.939;0.0279;0.34600000000000003;113.00299999999999;5snNHNlYT2UrtZo5HCJkiw-sep-6GwM5CHqhWXzG3l5kzRSAS;0;0
우산 (love song);nct 127;nct #127 neo zone - the 2nd album;sm entertainment;dreamus;202003;0;0;0;0;0;False;2oKAC0Dv0EEEWaECVmZzyp;album;2020-03-06;215160;False;0.048;0.652;0.7829999999999999;0.0;0.0866;-3.2710000000000004;0.14300000000000002;0.664;129.843;7f4ignuCJhLXfZ9giKT7rH;0;0
우아해 (woo ah);crush;interlude;아메바컬쳐;카카오 m;201605;1;0;1;0;0;False;5iOAtCkFtfPZoMeMbhMIY0;single;2016-05-06;221834;False;0.39899999999999997;0.6629999999999999;0.597;0.0;0.139;-8.101;0.0564;0.614;140.007;6aLdhHUqgdKE86xbtNmY8g;0;0
우연히 봄;loco-sep-yuju;냄새를 보는 소녀 ost part 2;도너츠뮤직;카카오 m;201504-201505-201506;1;0;1;0;0;True;28vtkwvCmDpYBDhvUhra0L;compilation;2019-06-03;201968;False;0.0637;0.7090000000000001;0.516;0.445;0.124;-9.291;0.0304;0.228;98.01700000000001;2e4G04F77jxVuDYo44TCSm-sep-7Bu0r4MCDX3sbhcFD5IXyx;1;0
우울시계 (feat. 종현);iu;modern times;카카오 m;카카오 m;201310;1;0;0;0;0;True;5mqINYGiOhoHXdc5nCeR4d;album;2013-10-08;168150;False;0.369;0.863;0.22899999999999998;0.0;0.10400000000000001;-8.184;0.0544;0.498;118.023;3HqSLMAZ3g3d5poNaI7GOU;0;0
우정, 그 씁쓸함에 대하여;10cm;1집 1.0;10cm;미러볼뮤직;201102;0;0;0;0;0;False;1vZqGlCTkK26DxN8VBSQHw;album;2011-02-10;193266;False;0.0388;0.782;0.522;0.0;0.136;-7.035;0.102;0.604;102.007;6zn0ihyAApAYV51zpXxdEp;0;0
우주를 건너;yerin baek;frank;jyp entertainment;지니뮤직;201512;1;0;0;0;0;False;37LGPxmWd0LLKt80PKEDfz;single;2015-11-30;247173;False;0.665;0.395;0.563;0.0;0.0998;-5.477;0.14800000000000002;0.449;185.61599999999999;6dhfy4ByARPJdPtMyrUYJK;0;0
우주를 줄게;bol4;full album red planet;쇼파르뮤직;nhn벅스;201609-201610-201611-201612-201701-201702-201703;1;0;3;3;0;False;6T3Mlx5fr71sm0u1YDAb4R;album;2016-08-29;213853;False;0.6809999999999999;0.606;0.815;0.0;0.0919;-2.407;0.132;0.7070000000000001;166.024;4k5fFEYgkWYrYvtOK3zVBl;0;0
욱 (ugh!);bts;map of the soul _ 7;빅히트 엔터테인먼트;dreamus;202007-202008;0;0;0;0;0;False;1aKuG1GG76xPLUkjBbQo3W;album;2020-02-21;225012;False;0.0394;0.72;0.8240000000000001;0.0;0.0509;-5.086;0.128;0.33299999999999996;165.998;3Nrfpe0tUJi4K4DXYWgMUX;0;0
운동화 사줄께;shin ji su, minos(eluphant);운동화 사줄께;lomo;카카오 m;201308;0;0;0;0;0;True;2ELX6qC2sHuWYiFYSskna0;single;2013-08-12;205958;False;0.18600000000000003;0.706;0.836;0.0;0.0827;-4.0169999999999995;0.157;0.722;94.99;0bt5Rm0S5ky48FMZrtNcRL;0;0
운명 (the chance of love);tvxq!;new chapter #1 _ the chance of love - ...;sm entertainment;dreamus;201804;0;0;0;0;0;False;3XzxHvEomjJIKZcZqYfFut;album;2018-03-28;207133;False;0.154;0.784;0.721;0.0;0.23800000000000002;-2.571;0.0453;0.915;112.01299999999999;6nVMMEywS5Y4tsHPKx1nIo;0;0
울고 싶단 말야;jay park;the classic;브레이브 엔터테인먼트;지니뮤직;201008;1;0;0;0;0;False;1g1bDZVpfzh3jxMzMcA1E9;album;2011-11-01;216848;False;0.256;0.636;0.794;0.0;0.126;-6.807;0.0429;0.847;144.042;4XDi67ZENZcbfKnvMnTYsI;0;0
울고 싶지 않아;seventeen;seventeen 4th mini album ‘al1’;플레디스;카카오 m;201707;0;0;0;0;0;False;6Upu6yjkdi0DVI8E3IBZEU;album;2017-05-22;203426;False;0.16399999999999998;0.7809999999999999;0.6829999999999999;1.53e-06;0.16;-4.258;0.0325;0.722;100.005;7nqOGRxlXj7N2JYbgNEjYH;0;0
울고, 불고...;zia;울고, 불고...;제이엔컴퍼니;카카오 m;201010;1;0;0;0;0;True;1fT6a62Gcg4kniRSR0Vrjt;single;2010-11-29;220708;False;0.373;0.639;0.746;0.0;0.34600000000000003;-4.948;0.0392;0.757;83.01700000000001;2vAxwTAH2OaInCfMxriCqk;0;0
울고만있어;baek ji young;굿닥터 ost part 3;더그루브엔터테인먼트, 브릿지 뮤직;카카오 m;201308;1;0;0;0;0;False;18orMm6R7hZmcnGJjS1Feb;single;2013-08-27;217077;False;0.897;0.557;0.312;0.0;0.0963;-6.572;0.0374;0.28300000000000003;132.19299999999998;3l0MJ9LCiBlMyOMaz485Q5;1;0
울다;eric nam;`위대한 탄생 시즌2` 멘토스쿨 part 1 (이승환편);아이엠비씨;nhn벅스;201112;0;0;0;0;0;False;7ucqC64QwUgReV9ykCHePC;single;2011-12-05;280143;False;0.6409999999999999;0.589;0.494;1.27e-05;0.0843;-8.515;0.0308;0.662;77.018;2FLqlgckDKdmpBrvLAT5BM;0;0
울컥;krystal;내겐 너무 사랑스러운 그녀 ost part 2;에이스토리;카카오 m;201409-201410;0;0;0;0;0;False;79mJAhQRLDc7zwi0D6khlF;compilation;2014-11-27;266788;False;0.645;0.523;0.359;0.0;0.165;-7.186;0.0313;0.13699999999999998;135.143;3qYt5zzf9B414wKsDhrtaO;1;0
웃다 울다;seo in guk;웃다 울다;젤리피쉬 엔터테인먼트;stone music entertainment;201304;1;0;0;0;0;False;271YBaq6RHO0oI5SqgJWaG;album;2014-01-01;196666;False;0.737;0.579;0.47100000000000003;1.21e-06;0.11599999999999999;-6.053999999999999;0.0448;0.21899999999999997;65.977;433F0GjVZRnsjP8ztGEso1;0;0
웃어 줄 수 없어서 미안하다;2am;죽어도 못 보내;jyp entertainment;카카오 m;201001-201002;1;0;2;0;0;False;51JqyRHrjwcc2vTWGzmWkB;album;2010-03-16;184733;False;0.693;0.674;0.589;0.0;0.0823;-3.7769999999999997;0.0369;0.434;143.958;5SnaL8SsjGMHQNyqpa8Zos;0;0
웃으며;lim jae hyun-sep-moon seongwook;웃으며;엔에스씨컴퍼니;카카오 m;201905-201906;0;0;0;0;0;True;3vkBbLGUyYh16Bi41geGU5;single;2018-06-26;309660;False;0.397;0.44299999999999995;0.466;2.17e-05;0.0894;-7.706;0.0342;0.146;139.894;3GXxRsiCLmZvM5oSeHbNdO-sep-6UoEHw8x6wpM9EIxwLrTFs;0;0
웃으며 안녕;soya n sun;웃으며 안녕;원오원엔터테인먼트;카카오 m;201004-201005;0;0;0;0;0;False;0WuxwLbPyUEUYTYdHSUQk9;single;2010-04-23;230844;False;0.317;0.71;0.7240000000000001;0.0;0.094;-4.575;0.047;0.635;90.98299999999999;462ywwfy8guyt05ljU0w2N;0;0
웃음만..;zia;difference (ep);카카오 m;카카오 m;201008;1;0;1;0;0;False;5zYbqI1Kqdiq9v5bZGqBUY;album;2010-08-06;211748;False;0.16399999999999998;0.461;0.722;0.0;0.1;-3.134;0.0523;0.316;167.96599999999998;2vAxwTAH2OaInCfMxriCqk;0;0
웃자 (be happy);girls' generation;`oh!` the second album;sm entertainment;지니뮤직;201001;0;0;0;0;0;False;24BWbBW2tMYQFIKzupkb8k;album;2010-01-28;210693;False;0.00561;0.708;0.965;0.0262;0.278;-1.912;0.0811;0.665;124.984;0Sadg1vgvaPqGTOjxu0N6c;0;0
웃지마 울지마;4men;나쁜남자 ost part 2;어치브그룹디엔;카카오 m;201006;1;0;0;0;0;True;5MOEyNCnR2sbpKeUFA6KQ9;single;2010-06-01;302939;False;0.8240000000000001;0.405;0.37799999999999995;0.0;0.125;-7.063;0.0397;0.315;59.678000000000004;7oFIkpNpLrTBgZW6w55W1J;1;0
워커홀릭;bol4;two five;쇼파르뮤직;카카오 m;201909-201910-201911-201912-202001;1;0;2;2;0;False;2WVpI9Og8Z7p8CGQK9CNX3;single;2019-09-10;191080;False;0.35200000000000004;0.727;0.7609999999999999;0.0;0.644;-3.008;0.0549;0.665;108.027;4k5fFEYgkWYrYvtOK3zVBl;0;0
원더우먼;t-ara-sep-seeya;원더우먼;코어컨텐츠미디어;stone music entertainment;201001-201002;1;0;2;0;0;True;2EuuiN071cS1G5wFtE9xBd;album;2011-02-08;217836;True;0.268;0.726;0.9570000000000001;0.0;0.0819;-2.174;0.0661;0.8320000000000001;135.003;1R52cwGf75yTf7I3Q0Irf8-sep-6IWLmzntCZH5QNte0LwGgG;0;0
위아래;exid;위아래;예당엔터테인먼트;sony music;201412-201501-201502-201503;1;0;3;2;0;False;6BKOhvRPY54uvfqWwg7MKi;album;2015-04-14;189882;False;0.0018899999999999998;0.7140000000000001;0.812;1.96e-06;0.22899999999999998;-2.7030000000000003;0.0351;0.377;112.01799999999999;1xs6WFotNQSXweo0GXrS0O;0;0
