title;singer;album;producer;distributor;is_popular;num_times_top_10;num_times_top_5;num_times_top_1;is_collab;spotify_uri;album_type;duration_ms;explicit;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;valence;tempo;singer_id;is_ost;for_reality_tvshow;times_in_chart;first_time_in_chart_date;first_time_in_chart_year;first_time_in_chart_month;first_time_in_chart_quarter;first_time_in_chart_period
you are so beautiful;kim jun soo;여인의 향기 ost part 2;에이스토리;카카오 m;1;1;0;0;False;6Lh9MkndDLiwbbD0x1dBu4;single;234240;False;0.0638;0.532;0.607;0.0;0.086;-6.516;0.0371;0.428;76.991;5XnHQYfUvqsLTtx7t0YI7B;1;0;1;2011-08-01;2011;8;3;summer
you do (outro);g-dragon;쿠데타 (coup d`etat);yg entertainment;지니뮤직;0;0;0;0;False;7EsWS94qUMMc2rmbgLJYYn;album;157871;False;0.0772;0.8640000000000001;0.47200000000000003;0.0;0.0427;-8.822000000000003;0.419;0.515;133.917;30b9WulBM8sFuBo17nNq9c;0;0;1;2013-09-01;2013;9;3;other
you don`t love me;spica;you don`t love me;b2m 엔터테인먼트;stone music entertainment;1;0;0;0;False;1cEWbU3vjy9UpVYVGbpMH9;single;234951;False;0.0413;0.68;0.745;0.0;0.324;-3.219;0.0411;0.584;127.98100000000001;5S3bx90A4ZX5RV02jRCOp9;0;0;1;2014-02-01;2014;2;1;other
you think;girls' generation;lion heart - the 5th album;sm entertainment;지니뮤직;0;0;0;0;False;0FleCid5zJl78Gc4NSpg3s;album;188608;False;0.00322;0.6970000000000001;0.8320000000000001;0.0;0.196;-3.2;0.05;0.28600000000000003;100.01700000000001;0Sadg1vgvaPqGTOjxu0N6c;0;0;1;2015-08-01;2015;8;3;summer
you(=i);bol4;full album red planet;쇼파르뮤직;nhn벅스;0;0;0;0;False;2HaQSeci7UD6dkHWeIk7CV;album;169477;False;0.625;0.696;0.894;0.00035;0.307;-3.238;0.0404;0.706;105.03200000000001;4k5fFEYgkWYrYvtOK3zVBl;0;0;2;2017-06-01;2017;6;2;summer
you`re my;taeyang;solar;yg entertainment;stone music entertainment;0;0;0;0;False;2nGFksMGo0ZT6ml0iKf11b;album;169253;False;0.94;0.546;0.192;0.0;0.0846;-13.058;0.0563;0.325;119.055;6udveWUgX4vu75FF0DTrXV;0;0;1;2010-07-01;2010;7;3;summer
young & free;xiumin-sep-mark;young & free - sm station;sm entertainment;지니뮤직;0;0;0;0;True;5JVDrK5KsVlU8PBfAdJhCK;single;202924;False;0.162;0.6729999999999999;0.7909999999999999;0.0;0.147;-3.824;0.188;0.65;100.064;5t0Js3X9t4wpgXGlaiTFe6-sep-70DFixYAFPv4Pf9kgSfR9O;0;0;1;2017-07-01;2017;7;3;summer
your story;kim hyun joong-sep-dok2;round 3;키이스트;stone music entertainment;0;0;0;0;True;0Lf4CMpQ1mbp98TxGIdP9I;single;232611;False;0.0907;0.552;0.726;0.0;0.264;-5.492000000000001;0.0522;0.23199999999999998;159.841;0rB9P2J3OkobNezpTBcXqE-sep-0rW6fVd3yuW2CF2sLYWQtE;0;0;2;2013-07-01;2013;7;3;summer
yum-yum (얌얌);7 go up;produce 101 - 35 girls 5 concepts;stone music entertainment;stone music entertainment;1;0;0;0;False;2WiQIbD8hpwvB7QQxeDMvg;compilation;193840;False;0.209;0.616;0.924;3.52e-05;0.153;-2.657;0.0947;0.784;165.96099999999996;2MZjibdzWA4zxAF8Y2fSyf;0;1;1;2016-04-01;2016;4;2;other
zeze;iu;chat-shire;로엔트리;카카오 m;1;0;0;0;False;1dwOTQnBuN8LeVX4jNwJXS;album;190711;False;0.27;0.7709999999999999;0.848;0.0;0.0873;-1.682;0.10800000000000001;0.708;93.024;3HqSLMAZ3g3d5poNaI7GOU;0;0;2;2015-10-01;2015;10;4;other
